survey_date,ano_ref,dlsp_focus_med_pct_pib,numeroRespondentes,dlsp_sgs_pct_pib,dlsp_sgs_yoy_pp,dlsp_sgs_data_obs,dlsp_divulgacao_aprox
2018-03-14,2019,57.6,23,54.7,,2019-12-01,2020-05-01
2018-03-14,2020,58.9,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-14,2021,60.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-14,2022,61.95,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-14,2023,62.6,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-14,2024,62.05,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-14,2025,60.0,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-15,2019,57.6,23,54.7,,2019-12-01,2020-05-01
2018-03-15,2020,58.9,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-15,2021,60.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-15,2022,61.95,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-15,2023,62.6,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-15,2024,62.05,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-15,2025,60.0,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-16,2019,57.6,23,54.7,,2019-12-01,2020-05-01
2018-03-16,2020,58.9,19,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-16,2021,60.6,17,55.11,-6.259999999999998,2021-12-01,2022-05-01
2018-03-16,2022,61.95,16,56.13,1.0200000000000031,2022-12-01,2023-05-01
2018-03-16,2023,62.6,15,60.43,4.299999999999997,2023-12-01,2024-05-01
2018-03-16,2024,62.05,14,61.3,0.8699999999999974,2024-12-01,2025-05-01
2018-03-16,2025,60.0,13,65.24,3.9399999999999977,2025-12-01,2026-05-01
2018-03-19,2019,57.4,20,54.7,,2019-12-01,2020-05-01
2018-03-19,2020,59.35,16,61.37,6.669999999999995,2020-12-01,2021-05-01
2018-03-19,2021,61.15,14,55.11,-6.259999999999998,2021-12-01,2022-05-01
