survey_date;selic_year_ref;selic_focus_pct;reuniao;selic_focus_nresp;ref_yyyymm;ipca_focus_med_mensal_pct
2022-05-03;2022;13,25;R8/2022;81;202205;13,25
2022-05-04;2022;13,25;R8/2022;73;202205;13,25
2022-05-05;2022;13,25;R8/2022;71;202205;13,25
2022-05-06;2022;13,25;R8/2022;40;202205;13,25
2022-05-09;2022;13,25;R8/2022;43;202205;13,25
2022-05-10;2022;13,25;R8/2022;44;202205;13,25
2022-05-11;2022;13,25;R8/2022;51;202205;13,25
2022-05-12;2022;13,25;R8/2022;55;202205;13,25
2022-05-13;2022;13,25;R8/2022;74;202205;13,25
2022-05-16;2022;13,25;R8/2022;73;202205;13,25
2022-05-17;2022;13,25;R8/2022;72;202205;13,25
2022-05-18;2022;13,25;R8/2022;66;202205;13,25
2022-05-19;2022;13,25;R8/2022;60;202205;13,25
2022-05-20;2022;13,25;R8/2022;63;202205;13,25
2022-05-23;2022;13,25;R8/2022;70;202205;13,25
2022-05-24;2022;13,25;R8/2022;74;202205;13,25
2022-05-25;2022;13,25;R8/2022;77;202205;13,25
2022-05-26;2022;13,25;R8/2022;76;202205;13,25
2022-05-27;2022;13,25;R8/2022;41;202205;13,25
2022-05-30;2022;13,25;R8/2022;39;202205;13,25
2022-05-31;2022;13,25;R8/2022;34;202205;13,25
2022-06-01;2022;13,25;R8/2022;32;202206;13,25
2022-06-02;2022;13,25;R8/2022;30;202206;13,25
2022-06-03;2022;13,25;R8/2022;29;202206;13,25
2022-06-06;2022;13,25;R8/2022;32;202206;13,25
2022-06-07;2022;13,25;R8/2022;33;202206;13,25
2022-06-08;2022;13,25;R8/2022;35;202206;13,25
2022-06-09;2022;13,25;R8/2022;41;202206;13,25
2022-06-10;2022;13,25;R8/2022;75;202206;13,25
2022-06-13;2022;13,375;R8/2022;76;202206;13,375
2022-06-14;2022;13,5;R8/2022;76;202206;13,5
2022-06-15;2022;13,5;R8/2022;75;202206;13,5
2022-06-17;2022;13,75;R8/2022;83;202206;13,75
2022-06-20;2022;13,75;R8/2022;68;202206;13,75
2022-06-21;2022;13,75;R8/2022;70;202206;13,75
2022-06-22;2022;13,75;R8/2022;70;202206;13,75
2022-06-23;2022;13,75;R8/2022;70;202206;13,75
2022-06-24;2022;13,75;R8/2022;60;202206;13,75
2022-06-27;2022;13,75;R8/2022;62;202206;13,75
2022-06-28;2022;13,75;R8/2022;60;202206;13,75
2022-06-29;2022;13,75;R8/2022;63;202206;13,75
2022-06-30;2022;13,75;R8/2022;63;202206;13,75
2022-07-01;2022;13,75;R8/2022;38;202207;13,75
2022-07-04;2022;13,75;R8/2022;31;202207;13,75
2022-07-05;2022;13,75;R8/2022;30;202207;13,75
2022-07-06;2022;13,75;R8/2022;36;202207;13,75
2022-07-07;2022;13,75;R8/2022;43;202207;13,75
2022-07-08;2022;13,75;R8/2022;54;202207;13,75
2022-07-11;2022;13,75;R8/2022;62;202207;13,75
2022-07-12;2022;13,75;R8/2022;64;202207;13,75
2022-07-13;2022;13,75;R8/2022;58;202207;13,75
2022-07-14;2022;13,75;R8/2022;51;202207;13,75
2022-07-15;2022;13,75;R8/2022;37;202207;13,75
2022-07-18;2022;13,75;R8/2022;34;202207;13,75
2022-07-19;2022;13,75;R8/2022;36;202207;13,75
2022-07-20;2022;13,75;R8/2022;38;202207;13,75
2022-07-21;2022;13,75;R8/2022;41;202207;13,75
2022-07-22;2022;13,75;R8/2022;84;202207;13,75
2022-07-25;2022;13,75;R8/2022;90;202207;13,75
2022-07-26;2022;13,75;R8/2022;90;202207;13,75
2022-07-27;2022;13,75;R8/2022;91;202207;13,75
2022-07-28;2022;13,75;R8/2022;93;202207;13,75
2022-07-29;2022;14,0;R8/2022;86;202207;14,0
2022-08-01;2022;14,0;R8/2022;79;202208;14,0
2022-08-02;2022;14,0;R8/2022;75;202208;14,0
2022-08-03;2022;14,0;R8/2022;73;202208;14,0
2022-08-04;2022;14,0;R8/2022;73;202208;14,0
2022-08-05;2022;13,7505;R8/2022;42;202208;13,7505
2022-08-08;2022;13,75;R8/2022;47;202208;13,75
2022-08-09;2022;13,75;R8/2022;51;202208;13,75
2022-08-10;2022;13,75;R8/2022;52;202208;13,75
2022-08-11;2022;13,75;R8/2022;56;202208;13,75
2022-08-12;2022;13,75;R8/2022;69;202208;13,75
2022-08-15;2022;13,75;R8/2022;71;202208;13,75
2022-08-16;2022;13,75;R8/2022;69;202208;13,75
2022-08-17;2022;13,75;R8/2022;64;202208;13,75
2022-08-18;2022;13,75;R8/2022;60;202208;13,75
2022-08-19;2022;13,75;R8/2022;75;202208;13,75
2022-08-22;2022;13,75;R8/2022;74;202208;13,75
2022-08-23;2022;13,75;R8/2022;76;202208;13,75
2022-08-24;2022;13,75;R8/2022;77;202208;13,75
2022-08-25;2022;13,75;R8/2022;77;202208;13,75
2022-08-26;2022;13,75;R8/2022;39;202208;13,75
2022-08-29;2022;13,75;R8/2022;41;202208;13,75
2022-08-30;2022;13,75;R8/2022;40;202208;13,75
2022-08-31;2022;13,75;R8/2022;40;202208;13,75
2022-09-01;2022;13,75;R8/2022;41;202209;13,75
2022-09-02;2022;13,75;R8/2022;41;202209;13,75
2022-09-05;2022;13,75;R8/2022;39;202209;13,75
2022-09-06;2022;13,75;R8/2022;39;202209;13,75
2022-09-08;2022;13,75;R8/2022;42;202209;13,75
2022-09-09;2022;13,75;R8/2022;57;202209;13,75
2022-09-12;2022;13,75;R8/2022;56;202209;13,75
2022-09-13;2022;13,75;R8/2022;56;202209;13,75
2022-09-14;2022;13,75;R8/2022;57;202209;13,75
2022-09-15;2022;13,75;R8/2022;60;202209;13,75
2022-09-16;2022;13,75;R8/2022;84;202209;13,75
2022-09-19;2022;13,75;R8/2022;83;202209;13,75
2022-09-20;2022;13,75;R8/2022;82;202209;13,75
2022-09-21;2022;13,75;R8/2022;84;202209;13,75
2022-09-22;2022;13,75;R8/2022;80;202209;13,75
2022-09-23;2022;13,75;R8/2022;70;202209;13,75
2022-09-26;2022;13,75;R8/2022;70;202209;13,75
2022-09-27;2022;13,75;R8/2022;74;202209;13,75
2022-09-28;2022;13,75;R8/2022;74;202209;13,75
2022-09-29;2022;13,75;R8/2022;72;202209;13,75
2022-09-30;2022;13,75;R8/2022;63;202209;13,75
2022-10-03;2022;13,75;R8/2022;61;202210;13,75
2022-10-04;2022;13,75;R8/2022;60;202210;13,75
2022-10-05;2022;13,75;R8/2022;59;202210;13,75
2022-10-06;2022;13,75;R8/2022;59;202210;13,75
